"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45"
"1","yep","att","ask","assad","comm","labour","usaid","dav","denni","egyptian","shuttle","hiker","maggi","cuba","haitian","bert","okay","unesco","shes","resend","patriota","btw","berri","congratul","romney","dropbi","sec","wikileak","fysa","agricultur","femal","corker","taliban","jiloti","pdb","belfast","moscow","ashraf","axelrod","health","assk","chen","zelaya","chines","unscr"
"2","cingular","verizon","spoke","bashar","doc","merkel","ngos","nytim","yunus","brotherhood","mill","sri","preines","fine","palau","murphy","night","bravo","clinton","obl","speci","saud","points","happi","gop","outer","ive","roger","abbas","solv","women","grameen","eikenberri","reuters","thx","irish","nuclear","baghdad","rahm","insur","hbj","sure","hondura","china","tnc"
"3","xpress","blackberri","bottom","alassad","foia","ashton","ngo","asap","unga","mubarak","bbd","detent","mtgs","sound","haiti","kerstett","evening","sudan","albright","delet","chappaqua","wow","bill","thank","boehner","wsenat","know","cia","kati","vision","gender","lugar","karzai","readout","cscc","ireland","iran","sbu","emanuel","kenya","kyi","hello","mideast","japan","qadhafi"
"4","fyi","wireless","congo","damascus","redact","tori","usg","agi","hey","morsi","cherylmills","report","pir","somalia","venezuela","robertson","get","reuter","rodham","confidential","valmoro","talk","est","dear","voter","airway","your","mullen","rob","hunger","mother","kyl","kayani","dprk","rch","robinson","iranian","iraqi","carter","charl","suu","testimony","les","greek","gaddafi"
"5","thru","handheld","folk","netanyahus","statescb","cameron","initiative","pls","followup","egypt","abedin","raid","nice","sur","preval","princeton","hour","letter","madelein","transmit","capricia","tue","howard","delight","candid","seci","youv","leak","steinberg","statecraft","girl","mcconnel","kabul","kurt","tomorrow","panel","russia","visa","chicago","patient","webb","hop","copenhagen","india","saif"
"6","info","ipad","respond","palestinian","waiver","german","bureaus","ambo","items","cairo","strobe","yemeni","nyt","leav","request","planning","finish","statement","cnn","autorepli","toria","crown","podesta","hillary","republican","wdefens","think","cabl","koh","centuri","male","sen","holbrook","mtg","kudo","ford","tehran","consular","michell","industri","tonit","yeah","minist","treasuri","uae"
"7","docx","plane","speak","syrian","dept","gordon","interag","tps","wed","islam","cheryl","prison","speech","good","npr","annemari","anyth","yesterday","hillari","notifi","roberta","add","berman","terrif","favor","whuma","crazi","laden","harold","diplomacy","woman","graham","afghan","monicahanley","fax","max","iaea","injur","advis","own","aung","things","hagu","australia","nss"
"8","cfr","wrap","guinea","flotilla","cas","french","coordin","cdm","send","muslim","huma","clearanc","forgot","pverveer","raj","terri","sleep","transcript","mentor","email","hormat","secure","pass","thanksgiv","race","wregion","that","tortur","jim","future","boy","snow","pakistan","update","lissa","northern","russian","overnight","mrs","million","confirmed","trip","cabinet","euro","ntc"
"9","intel","story","nigeria","syria","benghazi","brussel","outreach","isabell","item","dutch","expo","drc","feedback","miss","earthquak","slaughter","guess","edt","confus","laszczych","lona","list","language","excit","democrat","yorklaguardia","theyv","document","tom","core","kid","schumer","zardari","morning","tonight","gay","colombia","explos","inner","money","mashaban","want","prime","growth","mandela"
"10","min","got","flight","israel","qaddafi","sunday","reconstruct","print","weekend","calm","talbott","josh","cancel","luck","readi","tweet","eat","paper","laugh","virus","minutes","princ","politico","forward","reelect","pmt","dep","holder","today","meaning","courag","mccain","afghanistan","amb","draft","ralli","putin","travel","biden","care","call","korea","visit","sea","gene"
